Time,Velocity(f),Velocity,Throttle 
0,0,0,0,1597318677000
0.01,0,0,0,1597318677015
0.02,0,0,0,1597318677021
0.03,0,0,0,1597318677030
0.04,0,0,0,1597318677040
0.05,0,0,0,1597318677050
0.06,0,0,0,1597318677060
0.07,0,0,0,1597318677070
0.08,0,0,0,1597318677080
0.09,0,0,0,1597318677090
0.1,0,0,0,1597318677100
0.11,0,0,0,1597318677110
0.12,0,0,0,1597318677120
0.13,0,0,0,1597318677130
0.14,0,0,0,1597318677140
0.15,0,0,0,1597318677150
0.16,0,0,0,1597318677160
0.17,0,0,0,1597318677170
0.18,0,0,0,1597318677180
0.19,0,0,0,1597318677190
0.2,0,0,0,1597318677200
0.21,0,0,0,1597318677210
0.22,0,0,0,1597318677220
0.23,0,0,0,1597318677230
0.24,0,0,0,1597318677240
0.25,0,0,0,1597318677250
0.26,0,0,0,1597318677260
0.27,0,0,0,1597318677270
0.28,0,0,0,1597318677280
0.29,0,0,0,1597318677290
0.3,0,0,0,1597318677300
0.31,0,0,0,1597318677310
0.32,0,0,0,1597318677320
0.33,0,0,0,1597318677330
0.34,0,0,0,1597318677340
0.35,0,0,0,1597318677350
0.36,0,0,0,1597318677360
0.37,0,0,0,1597318677370
0.38,0,0,0,1597318677380
0.39,0,0,0,1597318677390
0.4,0,0,0,1597318677400
0.41,0,0,0,1597318677410
0.42,0,0,0,1597318677420
0.43,0,0,0,1597318677430
0.44,0,0,0,1597318677440
0.45,0,0,0,1597318677450
0.46,0,0,0,1597318677460
0.47,0,0,0,1597318677470
0.48,0,0,0,1597318677480
0.49,0,0,0,1597318677490
0.5,0,0,0,1597318677500
0.51,0,0,0,1597318677510
0.52,0,0,0,1597318677520
0.53,0,0,0,1597318677530
0.54,0,0,0,1597318677540
0.55,0,0,0,1597318677550
0.56,0,0,0,1597318677560
0.57,0,0,0,1597318677570
0.58,0,0,0,1597318677580
0.59,0,0,0,1597318677590
0.6,0,0,0,1597318677600
0.61,0,0,0,1597318677610
0.62,0,0,0,1597318677620
0.63,0,0,0,1597318677630
0.64,0,0,0,1597318677640
0.65,0,0,0,1597318677650
0.66,0,0,0,1597318677660
0.67,0,0,0,1597318677670
0.68,0,0,0,1597318677680
0.69,0,0,0,1597318677690
0.7,0,0,0,1597318677700
0.71,0,0,0,1597318677710
0.72,0,0,0,1597318677720
0.73,0,0,0,1597318677730
0.74,0,0,0,1597318677740
0.75,0,0,0,1597318677750
0.76,0,0,0,1597318677760
0.77,0,0,0,1597318677770
0.78,0,0,0,1597318677780
0.79,0,0,0,1597318677790
0.8,0,0,0,1597318677800
0.81,0,0,0,1597318677810
0.82,0,0,0,1597318677820
0.83,0,0,0,1597318677830
0.84,0,0,0,1597318677840
0.85,0,0,0,1597318677850
0.86,0,0,0,1597318677860
0.87,0,0,0,1597318677870
0.88,0,0,0,1597318677880
0.89,0,0,0,1597318677890
0.9,0,0,0,1597318677900
0.91,0,0,0,1597318677910
0.92,0,0,0,1597318677920
0.93,0,0,0,1597318677930
0.94,0,0,0,1597318677940
0.95,0,0,0,1597318677950
0.96,0,0,0,1597318677960
0.97,0,0,0,1597318677970
