Time,Velocity(f),Velocity,Throttle 
0,2270.41,5.23064,0.331412
0.01,2271.08,5.23218,0.331412
0.02,2271.33,5.23278,0.331412
0.03,2271.08,5.23218,0.331412
0.04,2271.69,5.23361,0.331412
0.05,2271.08,5.23218,0.331412
0.06,2272.06,5.23444,0.331412
0.07,2270.77,5.23147,0.331412
0.08,2271.08,5.23218,0.331412
0.09,2271.39,5.2329,0.331412
0.1,2251.54,5.18718,0.331412
0.11,2250.58,5.18496,0.331412
0.12,2251.54,5.18718,0.331412
0.13,2251.24,5.18648,0.331412
0.14,2250.58,5.18496,0.331412
0.15,2210.78,5.09326,0.331412
0.16,2210.73,5.09315,0.331412
0.17,2211.36,5.09461,0.331412
0.18,2210.73,5.09315,0.331412
0.19,2210.73,5.09315,0.331412
0.2,2117.07,4.87739,0.331412
0.21,2117.39,4.87811,0.331412
0.22,2116.49,4.87605,0.331412
0.23,2031.03,4.67917,0.331412
0.24,2031.82,4.68097,0.331412
0.25,2030.25,4.67736,0.331412
0.26,2030.99,4.67907,0.331412
0.27,2030.79,4.6786,0.331412
0.28,2031.28,4.67974,0.331412
0.29,1951.94,4.49695,0.331412
0.3,1951.91,4.49687,0.331412
0.31,1952.17,4.49748,0.331412
0.32,1892.33,4.35961,0.331412
0.33,1892.54,4.3601,0.331412
0.34,1892.76,4.3606,0.331412
0.35,1891.86,4.35854,0.331412
0.36,1892.54,4.3601,0.331412
0.37,1892.08,4.35903,0.331412
0.38,1836.85,4.2318,0.331412
0.39,1837.09,4.23234,0.331412
0.4,1837.05,4.23227,0.331412
0.41,1836.88,4.23188,0.331412
0.42,1836.24,4.2304,0.331412
0.43,1836.85,4.2318,0.331412
0.44,1797.01,4.14001,0.331412
0.45,1791.79,4.128,0.331412
0.46,1781.42,4.1041,0.331412
0.47,1771.32,4.08083,0.331412
0.48,1771.13,4.0804,0.331412
0.49,1771.73,4.08177,0.331412
0.5,1771.73,4.08177,0.331412
0.51,1806.13,4.16102,0.331412
0.52,1746.76,4.02424,0.331412
0.53,1746.94,4.02466,0.331412
0.54,1747.12,4.02508,0.331412
0.55,1747.15,4.02515,0.331412
0.56,1747.12,4.02508,0.331412
0.57,1722.86,3.96919,0.331412
0.58,1723.04,3.9696,0.331412
0.59,1723.22,3.97001,0.331412
0.6,1711.6,3.94323,0.331412
0.61,1711.42,3.94283,0.331412
0.62,1711.22,3.94236,0.331412
0.63,1711.6,3.94323,0.331412
0.64,1711.04,3.94195,0.331412
0.65,1711.07,3.94202,0.331412
0.66,1699.41,3.91516,0.331412
0.67,1699.99,3.91649,0.331412
0.68,1699.41,3.91516,0.331412
0.69,1699.44,3.91522,0.331412
0.7,1699.41,3.91516,0.331412
0.71,1699.24,3.91476,0.331412
0.72,1699.41,3.91516,0.331412
0.73,1699.41,3.91516,0.331412
0.74,1688.11,3.88912,0.331412
0.75,1687.93,3.88872,0.331412
0.76,1688.11,3.88912,0.331412
0.77,1688.11,3.88912,0.331412
0.78,1688.48,3.88997,0.331412
0.79,1672.91,3.85411,0.331412
0.8,1687.76,3.88833,0.331412
0.81,1687.91,3.88866,0.331412
0.82,1687.93,3.88872,0.331412
0.83,1687.93,3.88872,0.331412
0.84,1687.39,3.88748,0.331412
0.85,1687.42,3.88754,0.331412
0.86,1687.93,3.88872,0.331412
0.87,1687.91,3.88866,0.331412
0.88,1687.76,3.88833,0.331412
0.89,1688.11,3.88912,0.331412
0.9,1688.11,3.88912,0.331412
0.91,1676.78,3.86303,0.331412
0.92,1676.42,3.86219,0.331412
0.93,1676.59,3.86258,0.331412
0.94,1676.78,3.86303,0.331412
0.95,1676.78,3.86303,0.331412
0.96,1676.61,3.86264,0.331412
0.97,1676.59,3.86258,0.331412
0.98,1676.78,3.86303,0.331412
0.99,1676.78,3.86303,0.331412
1,1676.59,3.86258,0.331412
1.01,1676.61,3.86264,0.338821
1.02,1676.78,3.86303,0.41161
1.03,1676.78,3.86303,0.433779
1.04,1660.05,3.82449,0.444851
1.05,1676.25,3.8618,0.455906
1.06,1676.78,3.86303,0.466979
1.07,1676.78,3.86303,0.479893
1.08,1687.74,3.88826,0.489288
1.09,1687.76,3.88833,0.511382
1.1,1687.93,3.88872,0.522455
1.11,1687.76,3.88833,0.532323
1.12,1687.93,3.88872,0.532323
1.13,1747.34,4.02557,0.554331
1.14,1747.12,4.02508,0.576342
1.15,1746.94,4.02466,0.587329
1.16,1747.15,4.02515,0.591798
1.17,1850.48,4.2632,0.602459
1.18,1834.53,4.22644,0.623758
1.19,1850.28,4.26273,0.634375
1.2,1850.48,4.2632,0.633646
1.21,1998.52,4.60426,0.645404
1.22,1998.52,4.60426,0.663752
1.23,1998.52,4.60426,0.663752
1.24,1998.52,4.60426,0.667468
1.25,1998.52,4.60426,0.676557
1.26,2171.69,5.00322,0.685646
1.27,2172.31,5.00464,0.694736
1.28,2172.31,5.00464,0.703825
1.29,2356.77,5.4296,0.712914
1.3,2357.43,5.43114,0.712914
1.31,2356.77,5.4296,0.710904
1.32,2356.77,5.4296,0.705506
1.33,2356.77,5.4296,0.712313
1.34,2547.97,5.87009,0.719262
1.35,2549.13,5.87278,0.726142
1.36,2549.13,5.87278,0.733022
1.37,2548.74,5.87189,0.718866
1.38,2549.13,5.87278,0.730132
1.39,2744.31,6.32244,0.735826
1.4,2745.22,6.32453,0.741563
1.41,2745.22,6.32453,0.747216
1.42,2904.87,6.69233,0.731436
1.43,2904.87,6.69233,0.735826
1.44,2904.28,6.69097,0.744796
1.45,2904.78,6.69214,0.731715
1.46,3046.55,7.01875,0.735215
1.47,3046.55,7.01875,0.73878
1.48,3045.99,7.01747,0.745732
1.49,3047.11,7.02003,0.733635
1.5,3202.87,7.37888,0.736261
1.51,3203.38,7.38006,0.741575
1.52,3202.77,7.37865,0.744083
1.53,3202.87,7.37888,0.729568
1.54,3287.09,7.57292,0.731174
1.55,3287.09,7.57292,0.732901
1.56,3287.09,7.57292,0.736216
1.57,3287.74,7.57442,0.728612
1.58,3286.45,7.57143,0.729755
1.59,3375.98,7.77771,0.730898
1.6,3376.67,7.77928,0.73197
1.61,3454.59,7.9588,0.733109
1.62,3260.94,7.51267,0.725687
1.63,3375.3,7.77613,0.726207
1.64,3421.49,7.88256,0.718224
1.65,3421.38,7.88229,0.739641
1.66,3424.31,7.88903,0.728363
1.67,3469.69,7.9936,0.72388
1.68,3468.97,7.99193,0.724522
1.69,3555.3,8.19083,0.724515
1.7,3468.85,7.99166,0.719818
1.71,3519.27,8.10781,0.719915
1.72,3519.39,8.1081,0.710438
1.73,3517.04,8.10268,0.719439
1.74,3518.53,8.1061,0.713936
1.75,3518.53,8.1061,0.713634
1.76,3518.65,8.10639,0.713603
1.77,3517.78,8.10439,0.713165
1.78,3518.53,8.1061,0.712597
1.79,3518.53,8.1061,0.7123
1.8,3517.78,8.10439,0.71211
1.81,3518.53,8.1061,0.711749
1.82,3518.53,8.1061,0.711263
1.83,3520.14,8.10981,0.710983
1.84,3517.78,8.10439,0.710338
1.85,3518.53,8.1061,0.710054
1.86,3518.65,8.10639,0.709593
1.87,3519.27,8.10781,0.709558
1.88,3519.27,8.10781,0.709197
1.89,3516.17,8.10068,0.708913
1.9,3520.14,8.10981,0.708259
1.91,3518.53,8.1061,0.70797
1.92,3518.53,8.1061,0.708022
1.93,3517.78,8.10439,0.707317
1.94,3453.99,7.95743,0.7072
1.95,3518.53,8.1061,0.706916
1.96,3518.53,8.1061,0.706434
1.97,3520.14,8.10981,0.706434
1.98,3520.14,8.10981,0.706187
1.99,3516.3,8.10097,0.705903
2,3518.53,8.1061,0.705442
2.01,3518.53,8.1061,0.704854
2.02,3519.39,8.1081,0.704982
2.03,3647.77,8.40386,0.704467
2.04,3518.53,8.1061,0.704183
2.05,3518.53,8.1061,0.703804
2.06,3518.65,8.10639,0.688308
2.07,3518.53,8.1061,0.701448
2.08,3519.39,8.1081,0.701164
2.09,3518.53,8.1061,0.700866
2.1,3518.53,8.1061,0.700595
2.11,3519.27,8.10781,0.700311
2.12,3517.91,8.10467,0.699738
2.13,3519.39,8.1081,0.699454
2.14,3518.65,8.10639,0.699088
2.15,3520.88,8.11152,0.698799
2.16,3518.53,8.1061,0.698661
2.17,3517.91,8.10467,0.698009
2.18,3469.81,7.99387,0.697479
2.19,3468.85,7.99166,0.69744
2.2,3469.69,7.9936,0.697224
2.21,3469.69,7.9936,0.702235
2.22,3471.98,7.99887,0.702357
2.23,3469.69,7.9936,0.702287
2.24,3471.26,7.9972,0.702304
2.25,3469.69,7.9936,0.702087
2.26,3469.69,7.9936,0.702341
