Time,Velocity(f),Velocity,Throttle 
0,92.9378,0.214113,0.893404
0.01,92.9373,0.214112,0.893404
0.02,92.9373,0.214112,0.893404
0.03,92.9362,0.21411,0.893404
0.04,92.9362,0.21411,0.893404
0.05,92.9184,0.214069,0.893404
0.06,92.9536,0.21415,0.893404
0.07,92.9357,0.214108,0.893404
0.08,270.355,0.622853,0.893404
0.09,270.356,0.622855,0.893404
0.1,269.732,0.621417,0.893404
0.11,270.36,0.622865,0.893404
0.12,270.356,0.622855,0.893404
0.13,271.218,0.624842,0.893404
0.14,811.129,1.86871,0.893404
0.15,811.083,1.8686,0.893404
0.16,811.089,1.86862,0.893404
0.17,1452.54,3.34641,0.893404
0.18,1452.69,3.34675,0.893404
0.19,1440.76,3.31926,0.893404
0.2,1452.43,3.34617,0.893404
0.21,1452.83,3.34709,0.893404
0.22,2063.81,4.75468,0.893404
0.23,2064.58,4.75645,0.893404
0.24,2108.15,4.85682,0.893404
0.25,2064.58,4.75645,0.893404
0.26,2064.07,4.75527,0.893404
0.27,2064.58,4.75645,0.893404
0.28,2603.49,5.99801,0.893404
0.29,2602.68,5.99613,0.893404
0.3,2601.86,5.99426,0.893404
0.31,2602.27,5.9952,0.893404
0.32,2602.27,5.9952,0.893404
0.33,3046.64,7.01896,0.893404
0.34,3046.64,7.01896,0.893404
0.35,3045.35,7.01597,0.893404
0.36,3046.55,7.01875,0.893404
0.37,3047.11,7.02003,0.893404
0.38,3376.67,7.77928,0.893404
0.39,3373.82,7.77272,0.893404
0.4,3374.62,7.77456,0.893404
0.41,3375.98,7.77771,0.893404
0.42,3376.67,7.77928,0.893404
0.43,3618.08,8.33545,0.893404
0.44,3620.56,8.34118,0.893404
0.45,3618.86,8.33726,0.893404
0.46,3620.56,8.34118,0.893404
0.47,3620.7,8.34148,0.893404
0.48,3842.46,8.85239,0.893404
0.49,3843.49,8.85477,0.893404
0.5,3843.49,8.85477,0.893404
0.51,3842.46,8.85239,0.893404
0.52,3968.41,9.14256,0.893404
0.53,3965.42,9.13568,0.893404
0.54,3964.48,9.1335,0.893404
0.55,3965.42,9.13568,0.893404
0.56,3965.42,9.13568,0.893404
0.57,4079.8,9.39919,0.893404
0.58,4076.64,9.39191,0.893404
0.59,4079.8,9.39919,0.893404
0.6,4078.8,9.39689,0.893404
0.61,4079.8,9.39919,0.893404
0.62,4077.64,9.3942,0.893404
0.63,4163.72,9.59252,0.893404
0.64,4163.72,9.59252,0.893404
0.65,4164.76,9.59491,0.893404
0.66,4162.68,9.59012,0.893404
0.67,4214.25,9.70894,0.893404
0.68,4216.38,9.71385,0.893404
0.69,4216.38,9.71385,0.893404
0.7,4216.56,9.71426,0.893404
0.71,4217.63,9.71672,0.893404
0.72,4270.58,9.83872,0.893404
0.73,4272.77,9.84376,0.893404
0.74,4270.4,9.8383,0.893404
0.75,4270.58,9.83872,0.893404
0.76,4270.58,9.83872,0.893404
0.77,4286.69,9.87583,0.893404
0.78,4287.61,9.87795,0.893404
0.79,4288.72,9.88049,0.893404
0.8,4287.61,9.87795,0.893404
0.81,4288.9,9.88092,0.893404
0.82,4291.11,9.88601,0.893404
0.83,4307.37,9.92348,0.893404
0.84,4308.49,9.92604,0.893404
0.85,4410.73,10.1616,0.893404
0.86,4307.19,9.92305,0.893404
0.87,4306.08,9.92049,0.893404
0.88,4325.82,9.96598,0.893404
0.89,4323.58,9.96081,0.893404
0.9,4327.13,9.969,0.893404
0.91,4326.94,9.96856,0.893404
0.92,4327.13,9.969,0.893404
0.93,4326.01,9.96641,0.893404
0.94,4323.58,9.96081,0.893404
0.95,4325.82,9.96598,0.893404
0.96,4323.58,9.96081,0.893404
0.97,4215.32,9.7114,0.893404
0.98,4216.38,9.71385,0.893404
0.99,4215.32,9.7114,0.914244
1,4213.19,9.70649,0.481523
1.01,4215.32,9.7114,0.476825
1.02,4215.32,9.7114,0.472355
1.03,4216.38,9.71385,0.468009
1.04,4218.7,9.71918,0.463206
1.05,4216.38,9.71385,0.458626
1.06,4216.38,9.71385,0.453928
1.07,4315.37,9.94189,0.449086
1.08,4180.08,9.63021,0.444739
1.09,4180.08,9.63021,0.440151
1.1,4163.72,9.59252,0.424673
1.11,4163.72,9.59252,0.434361
1.12,4163.72,9.59252,0.429997
1.13,4160.43,9.58493,0.427434
1.14,3964.48,9.1335,0.423171
1.15,3966.52,9.13821,0.418909
1.16,3963.54,9.13133,0.415008
1.17,3965.42,9.13568,0.432325
1.18,3965.42,9.13568,0.429066
1.19,3965.42,9.13568,0.426348
1.2,3729.53,8.59223,0.423112
1.21,3729.53,8.59223,0.420072
1.22,3729.67,8.59255,0.417033
1.23,3727.73,8.58807,0.439946
1.24,3422.31,7.88444,0.438361
1.25,3421.49,7.88256,0.43676
1.26,3422.9,7.88579,0.435389
1.27,3421.49,7.88256,0.467417
1.28,3420.67,7.88067,0.467817
1.29,3122.17,7.19296,0.467977
1.3,3020.05,6.9577,0.468437
1.31,3123.34,7.19566,0.468841
1.32,3123.44,7.19588,0.502003
1.33,3122.76,7.19431,0.515399
1.34,3120.9,7.19005,0.506825
1.35,2904.87,6.69233,0.508967
1.36,2905.88,6.69466,0.511194
1.37,2745.29,6.3247,0.513554
1.38,2745.22,6.32453,0.539492
1.39,2745.29,6.3247,0.542881
1.4,2745.74,6.32574,0.568527
1.41,2744.84,6.32366,0.568527
1.42,2745.22,6.32453,0.573019
1.43,2657.17,6.12168,0.582027
1.44,2658.09,6.1238,0.586514
1.45,2658.09,6.1238,0.590959
