Time,Velocity(f),Velocity,Throttle 
0,2134.88,4.91841,0.580146
0.01,2134.93,4.91852,0.580146
0.02,2134.88,4.91841,0.580146
0.03,2153.64,4.96163,0.580146
0.04,2153.32,4.96088,0.580146
0.05,2230.2,5.13802,0.580146
0.06,2230.85,5.13951,0.580146
0.07,2230.5,5.1387,0.580146
0.08,2334.76,5.3789,0.580146
0.09,2333.72,5.37651,0.580146
0.1,2450.32,5.64513,0.580146
0.11,2449.24,5.64264,0.580146
0.12,2449.18,5.6425,0.580146
0.13,2593.83,5.97576,0.580146
0.14,2549.98,5.87473,0.580146
0.15,2549.52,5.87368,0.580146
0.16,2629.23,6.0573,0.580146
0.17,2629.64,6.05826,0.580146
0.18,2715.47,6.256,0.580146
0.19,2715.47,6.256,0.580146
0.2,2745.29,6.3247,0.580146
0.21,2745.22,6.32453,0.580146
0.22,2807.49,6.46799,0.580146
0.23,2808.44,6.47017,0.580146
0.24,2807.02,6.4669,0.580146
0.25,2807.49,6.46799,0.580146
0.26,2806.47,6.46563,0.580146
0.27,2918.17,6.72299,0.580146
0.28,2838.81,6.54015,0.580146
0.29,2871.5,6.61546,0.580146
0.3,2871.42,6.61527,0.580146
0.31,2871.5,6.61546,0.580146
0.32,2871.5,6.61546,0.580146
0.33,2872,6.6166,0.580146
0.34,2871.5,6.61546,0.580146
0.35,2871.42,6.61527,0.580146
0.36,2871.5,6.61546,0.580146
0.37,2873.07,6.61907,0.580146
0.38,2871.5,6.61546,0.580146
0.39,2872.49,6.61774,0.580146
0.4,2871.5,6.61546,0.580146
0.41,2871.5,6.61546,0.580146
0.42,2871.5,6.61546,0.580146
0.43,2872.57,6.61793,0.580146
0.44,2871.42,6.61527,0.580146
0.45,2871.5,6.61546,0.580146
0.46,2870.43,6.61299,0.580146
0.47,2869.93,6.61185,0.580146
0.48,2870.92,6.61413,0.580146
0.49,2905.37,6.6935,0.580146
0.5,2905.46,6.69369,0.580146
0.51,2904.36,6.69116,0.580146
0.52,2905.96,6.69486,0.580146
0.53,2904.87,6.69233,0.580146
0.54,2905.46,6.69369,0.580146
0.55,2904.87,6.69233,0.580146
0.56,2905.88,6.69466,0.580146
0.57,2904.87,6.69233,0.580146
0.58,2905.37,6.6935,0.580146
0.59,2903.35,6.68883,0.580146
0.6,2904.87,6.69233,0.580146
0.61,2904.87,6.69233,0.580146
0.62,2905.37,6.6935,0.580146
0.63,2905.46,6.69369,0.580146
0.64,2905.88,6.69466,0.580146
0.65,2982.31,6.87076,0.580146
0.66,2904.28,6.69097,0.580146
0.67,2905.37,6.6935,0.580146
0.68,2905.88,6.69466,0.580146
0.69,2904.87,6.69233,0.580146
0.7,2905.37,6.6935,0.580146
0.71,2900.06,6.68127,0.580146
0.72,2905.46,6.69369,0.580146
0.73,2904.36,6.69116,0.580146
0.74,2905.88,6.69466,0.580146
0.75,2905.46,6.69369,0.580146
0.76,2906.47,6.69603,0.580146
0.77,2904.95,6.69252,0.580146
0.78,2905.37,6.6935,0.580146
0.79,2906.47,6.69603,0.580146
0.8,2904.95,6.69252,0.580146
0.81,2904.87,6.69233,0.580146
0.82,2903.85,6.69,0.580146
0.83,2903.35,6.68883,0.580146
0.84,2903.85,6.69,0.580146
0.85,2904.36,6.69116,0.580146
0.86,3006.43,6.92633,0.580146
0.87,2905.46,6.69369,0.580146
0.88,2904.87,6.69233,0.580146
0.89,2904.36,6.69116,0.580146
0.9,2903.35,6.68883,0.580146
0.91,2905.96,6.69486,0.580146
0.92,2877.7,6.62974,0.580146
0.93,2904.36,6.69116,0.580146
0.94,2904.87,6.69233,0.580146
0.95,2906.47,6.69603,0.580146
0.96,2862.29,6.59425,0.580146
0.97,2871.5,6.61546,0.580146
0.98,2871.5,6.61546,0.580146
0.99,2871.09,6.61451,0.593471
1,2870.51,6.61318,0.510792
1.01,2871.5,6.61546,0.518578
1.02,2871.42,6.61527,0.526493
1.03,2871.42,6.61527,0.534286
1.04,2871.5,6.61546,0.541951
1.05,2871.5,6.61546,0.549748
1.06,2871.5,6.61546,0.557535
1.07,2871.5,6.61546,0.565311
1.08,2872.49,6.61774,0.573097
1.09,2871.42,6.61527,0.580883
1.1,2838.81,6.54015,0.588669
1.11,2840.43,6.54387,0.596326
1.12,2806.47,6.46563,0.604245
1.13,2806.47,6.46563,0.616283
1.14,2807.49,6.46799,0.624104
1.15,2806.94,6.46672,0.636552
1.16,2806.94,6.46672,0.644827
1.17,2806.94,6.46672,0.652969
1.18,2806.94,6.46672,0.661309
1.19,2806.94,6.46672,0.669581
1.2,2870.43,6.61299,0.677852
1.21,2870.51,6.61318,0.686124
1.22,2904.87,6.69233,0.694396
1.23,2905.88,6.69466,0.694389
1.24,2974.6,6.85298,0.702173
1.25,2974.07,6.85176,0.705487
1.26,3047.76,7.02153,0.720425
1.27,3046.64,7.01896,0.718993
1.28,3044.79,7.01469,0.718993
1.29,3123.93,7.19701,0.716464
1.3,3122.17,7.19296,0.722924
1.31,3202.77,7.37865,0.729772
1.32,3202.77,7.37865,0.736254
1.33,3200.92,7.37439,0.732647
1.34,3287.09,7.57292,0.728039
1.35,3287.09,7.57292,0.733333
1.36,3330.89,7.67382,0.738868
1.37,3330.89,7.67382,0.73294
1.38,3422.31,7.88444,0.7376
1.39,3421.49,7.88256,0.736549
1.4,3422.2,7.88417,0.740879
1.41,3469.81,7.99387,0.733289
1.42,3469.69,7.9936,0.737039
1.43,3464.52,7.98169,0.740596
1.44,3470.54,7.99554,0.738031
1.45,3471.26,7.9972,0.741332
1.46,3470.54,7.99554,0.745292
1.47,3518.53,8.1061,0.747833
1.48,3520.14,8.10981,0.751018
